INFO,SDATE,DISCHARGE
HARP INFLOW #3,5/19/1992 0:00:00,2.34
HARP INFLOW #3,5/20/1992 0:00:00,2.03
HARP INFLOW #3,5/21/1992 0:00:00,1.82
HARP INFLOW #3,5/22/1992 0:00:00,1.52
HARP INFLOW #3,5/23/1992 0:00:00,1.33
HARP INFLOW #3,5/24/1992 0:00:00,1.29
HARP INFLOW #3,5/25/1992 0:00:00,1.17
HARP INFLOW #3,5/26/1992 0:00:00,1.07
HARP INFLOW #3,5/27/1992 0:00:00,0.96
HARP INFLOW #3,5/28/1992 0:00:00,0.84
HARP INFLOW #3,5/29/1992 0:00:00,0.66
HARP INFLOW #3,5/30/1992 0:00:00,0.63
HARP INFLOW #3,5/31/1992 0:00:00,1.07
HARP INFLOW #3,6/1/1992 0:00:00,0.85
HARP INFLOW #3,6/2/1992 0:00:00,0.57
HARP INFLOW #3,6/3/1992 0:00:00,0.46
HARP INFLOW #3,6/4/1992 0:00:00,0.38
HARP INFLOW #3,6/5/1992 0:00:00,0.44
HARP INFLOW #3,6/6/1992 0:00:00,0.6
HARP INFLOW #3,6/7/1992 0:00:00,0.5
HARP INFLOW #3,6/8/1992 0:00:00,0.45
HARP INFLOW #3,6/9/1992 0:00:00,0.3
HARP INFLOW #3,6/10/1992 0:00:00,0.22
HARP INFLOW #3,6/11/1992 0:00:00,0.16
HARP INFLOW #3,6/12/1992 0:00:00,0.1
HARP INFLOW #3,6/13/1992 0:00:00,0.08
HARP INFLOW #3,6/14/1992 0:00:00,0.06
HARP INFLOW #3,6/15/1992 0:00:00,0.04
HARP INFLOW #3,6/16/1992 0:00:00,0.02
HARP INFLOW #3,6/17/1992 0:00:00,0.01
HARP INFLOW #3,6/18/1992 0:00:00,0.35
HARP INFLOW #3,6/19/1992 0:00:00,0.89
HARP INFLOW #3,6/20/1992 0:00:00,0.4
HARP INFLOW #3,6/21/1992 0:00:00,0.66
HARP INFLOW #3,6/22/1992 0:00:00,0.4
HARP INFLOW #3,6/23/1992 0:00:00,0.18
HARP INFLOW #3,6/24/1992 0:00:00,0.11
HARP INFLOW #3,6/25/1992 0:00:00,0.09
HARP INFLOW #3,6/26/1992 0:00:00,0.05
HARP INFLOW #3,6/27/1992 0:00:00,0.02
HARP INFLOW #3,6/28/1992 0:00:00,0.02
HARP INFLOW #3,6/29/1992 0:00:00,0.07
HARP INFLOW #3,6/30/1992 0:00:00,0.13
HARP INFLOW #3,7/1/1992 0:00:00,0.03
HARP INFLOW #3,7/2/1992 0:00:00,0.02
HARP INFLOW #3,7/3/1992 0:00:00,0.56
HARP INFLOW #3,7/4/1992 0:00:00,0.75
HARP INFLOW #3,7/5/1992 0:00:00,0.18
HARP INFLOW #3,7/6/1992 0:00:00,0.13
HARP INFLOW #3,7/7/1992 0:00:00,0.12
HARP INFLOW #3,7/8/1992 0:00:00,1.68
HARP INFLOW #3,7/9/1992 0:00:00,2.69
HARP INFLOW #3,7/10/1992 0:00:00,1.06
HARP INFLOW #3,7/11/1992 0:00:00,0.89
HARP INFLOW #3,7/12/1992 0:00:00,1.85
HARP INFLOW #3,7/13/1992 0:00:00,4.44
HARP INFLOW #3,7/14/1992 0:00:00,1.69
HARP INFLOW #3,7/15/1992 0:00:00,0.92
HARP INFLOW #3,7/16/1992 0:00:00,0.42
HARP INFLOW #3,7/17/1992 0:00:00,0.71
HARP INFLOW #3,7/18/1992 0:00:00,1.45
HARP INFLOW #3,7/19/1992 0:00:00,1.82
HARP INFLOW #3,7/20/1992 0:00:00,1.67
HARP INFLOW #3,7/21/1992 0:00:00,0.79
HARP INFLOW #3,7/22/1992 0:00:00,0.39
HARP INFLOW #3,7/23/1992 0:00:00,0.22
HARP INFLOW #3,7/24/1992 0:00:00,0.11
HARP INFLOW #3,7/25/1992 0:00:00,0.07
HARP INFLOW #3,7/26/1992 0:00:00,0.07
HARP INFLOW #3,7/27/1992 0:00:00,0.08
HARP INFLOW #3,7/28/1992 0:00:00,0.08
HARP INFLOW #3,7/29/1992 0:00:00,0.08
HARP INFLOW #3,7/30/1992 0:00:00,0.03
HARP INFLOW #3,7/31/1992 0:00:00,0.19
HARP INFLOW #3,8/1/1992 0:00:00,0.35
HARP INFLOW #3,8/2/1992 0:00:00,0.24
HARP INFLOW #3,8/3/1992 0:00:00,0.18
HARP INFLOW #3,8/4/1992 0:00:00,0.09
HARP INFLOW #3,8/5/1992 0:00:00,0.08
HARP INFLOW #3,8/6/1992 0:00:00,0.02
HARP INFLOW #3,8/7/1992 0:00:00,0
HARP INFLOW #3,8/8/1992 0:00:00,0.3
HARP INFLOW #3,8/9/1992 0:00:00,0.5
HARP INFLOW #3,8/10/1992 0:00:00,0.25
HARP INFLOW #3,8/11/1992 0:00:00,0.22
HARP INFLOW #3,8/12/1992 0:00:00,0.09
HARP INFLOW #3,8/13/1992 0:00:00,0.07
HARP INFLOW #3,8/14/1992 0:00:00,0.04
HARP INFLOW #3,8/15/1992 0:00:00,0.04
HARP INFLOW #3,8/16/1992 0:00:00,0.18
HARP INFLOW #3,8/17/1992 0:00:00,0.55
HARP INFLOW #3,8/18/1992 0:00:00,0.46
HARP INFLOW #3,8/19/1992 0:00:00,0.6
HARP INFLOW #3,8/20/1992 0:00:00,0.21
HARP INFLOW #3,8/21/1992 0:00:00,0.08
HARP INFLOW #3,8/22/1992 0:00:00,0.04
HARP INFLOW #3,8/23/1992 0:00:00,0.01
HARP INFLOW #3,8/24/1992 0:00:00,0
HARP INFLOW #3,8/25/1992 0:00:00,0.01
HARP INFLOW #3,8/26/1992 0:00:00,0
HARP INFLOW #3,8/27/1992 0:00:00,0.03
HARP INFLOW #3,8/28/1992 0:00:00,3.71
HARP INFLOW #3,8/29/1992 0:00:00,2.81
HARP INFLOW #3,8/30/1992 0:00:00,1.65
HARP INFLOW #3,8/31/1992 0:00:00,0.99
HARP INFLOW #3,9/1/1992 0:00:00,0.58
HARP INFLOW #3,9/2/1992 0:00:00,0.35
HARP INFLOW #3,9/3/1992 0:00:00,0.77
HARP INFLOW #3,9/4/1992 0:00:00,0.49
HARP INFLOW #3,9/5/1992 0:00:00,0.25
HARP INFLOW #3,9/6/1992 0:00:00,1.69
HARP INFLOW #3,9/7/1992 0:00:00,6.17
HARP INFLOW #3,9/8/1992 0:00:00,5.54
HARP INFLOW #3,9/9/1992 0:00:00,3.39
HARP INFLOW #3,9/10/1992 0:00:00,4.2
HARP INFLOW #3,9/11/1992 0:00:00,2.63
HARP INFLOW #3,9/12/1992 0:00:00,1.61
HARP INFLOW #3,9/13/1992 0:00:00,1.13
HARP INFLOW #3,9/14/1992 0:00:00,0.76
HARP INFLOW #3,9/15/1992 0:00:00,0.64
HARP INFLOW #3,9/16/1992 0:00:00,0.62
HARP INFLOW #3,9/17/1992 0:00:00,0.66
HARP INFLOW #3,9/18/1992 0:00:00,7.19
HARP INFLOW #3,9/19/1992 0:00:00,6.59
HARP INFLOW #3,9/20/1992 0:00:00,3.94
HARP INFLOW #3,9/21/1992 0:00:00,3.55
HARP INFLOW #3,9/22/1992 0:00:00,149.9
HARP INFLOW #3,9/23/1992 0:00:00,28
HARP INFLOW #3,9/24/1992 0:00:00,13.7
HARP INFLOW #3,9/25/1992 0:00:00,9.38
HARP INFLOW #3,9/26/1992 0:00:00,7.45
HARP INFLOW #3,9/27/1992 0:00:00,10.71
HARP INFLOW #3,9/28/1992 0:00:00,19.31
HARP INFLOW #3,9/29/1992 0:00:00,7.78
HARP INFLOW #3,9/30/1992 0:00:00,6.31
HARP INFLOW #3,10/1/1992 0:00:00,5.46
HARP INFLOW #3,10/2/1992 0:00:00,4.87
HARP INFLOW #3,10/3/1992 0:00:00,4.24
HARP INFLOW #3,10/4/1992 0:00:00,3.67
HARP INFLOW #3,10/5/1992 0:00:00,2.86
HARP INFLOW #3,10/6/1992 0:00:00,2.44
HARP INFLOW #3,10/7/1992 0:00:00,2.24
HARP INFLOW #3,10/8/1992 0:00:00,2.14
HARP INFLOW #3,10/9/1992 0:00:00,2.06
HARP INFLOW #3,10/10/1992 0:00:00,2
HARP INFLOW #3,10/11/1992 0:00:00,1.96
HARP INFLOW #3,10/12/1992 0:00:00,1.93
HARP INFLOW #3,10/13/1992 0:00:00,2.08
HARP INFLOW #3,10/14/1992 0:00:00,2.4
HARP INFLOW #3,10/15/1992 0:00:00,2.23
HARP INFLOW #3,10/16/1992 0:00:00,10.6
HARP INFLOW #3,10/17/1992 0:00:00,12.3
HARP INFLOW #3,10/18/1992 0:00:00,9.07
HARP INFLOW #3,10/19/1992 0:00:00,6.68
HARP INFLOW #3,10/20/1992 0:00:00,5.42
HARP INFLOW #3,10/21/1992 0:00:00,5.23
HARP INFLOW #3,10/22/1992 0:00:00,5.27
HARP INFLOW #3,10/23/1992 0:00:00,6.32
HARP INFLOW #3,10/24/1992 0:00:00,9.66
HARP INFLOW #3,10/25/1992 0:00:00,7.48
HARP INFLOW #3,10/26/1992 0:00:00,6.08
HARP INFLOW #3,10/27/1992 0:00:00,5.47
HARP INFLOW #3,10/28/1992 0:00:00,4.85
HARP INFLOW #3,10/29/1992 0:00:00,4.28
HARP INFLOW #3,10/30/1992 0:00:00,3.75
HARP INFLOW #3,10/31/1992 0:00:00,3.38
HARP INFLOW #3,11/1/1992 0:00:00,3.02
HARP INFLOW #3,11/2/1992 0:00:00,6.78
HARP INFLOW #3,11/3/1992 0:00:00,23.9
HARP INFLOW #3,11/4/1992 0:00:00,20.2
HARP INFLOW #3,11/5/1992 0:00:00,15.6
HARP INFLOW #3,11/6/1992 0:00:00,10.9
HARP INFLOW #3,11/7/1992 0:00:00,7.59
HARP INFLOW #3,11/8/1992 0:00:00,5.74
HARP INFLOW #3,11/9/1992 0:00:00,4.9
HARP INFLOW #3,11/10/1992 0:00:00,6.7
HARP INFLOW #3,11/11/1992 0:00:00,16.1
HARP INFLOW #3,11/12/1992 0:00:00,35.5
HARP INFLOW #3,11/13/1992 0:00:00,86.5
HARP INFLOW #3,11/14/1992 0:00:00,23.8
HARP INFLOW #3,11/15/1992 0:00:00,13.7
HARP INFLOW #3,11/16/1992 0:00:00,9.76
HARP INFLOW #3,11/17/1992 0:00:00,8.64
HARP INFLOW #3,11/18/1992 0:00:00,7.37
HARP INFLOW #3,11/19/1992 0:00:00,6.1
HARP INFLOW #3,11/20/1992 0:00:00,5.14
HARP INFLOW #3,11/21/1992 0:00:00,5.97
HARP INFLOW #3,11/22/1992 0:00:00,9.55
HARP INFLOW #3,11/23/1992 0:00:00,18.5
HARP INFLOW #3,11/24/1992 0:00:00,15.8
HARP INFLOW #3,11/25/1992 0:00:00,13.6
HARP INFLOW #3,11/26/1992 0:00:00,17.4
HARP INFLOW #3,11/27/1992 0:00:00,21.1
HARP INFLOW #3,11/28/1992 0:00:00,14.5
HARP INFLOW #3,11/29/1992 0:00:00,10.6
HARP INFLOW #3,11/30/1992 0:00:00,8.52
HARP INFLOW #3,12/1/1992 0:00:00,7.54
HARP INFLOW #3,12/2/1992 0:00:00,6.52
HARP INFLOW #3,12/3/1992 0:00:00,5.86
HARP INFLOW #3,12/4/1992 0:00:00,4.84
HARP INFLOW #3,12/5/1992 0:00:00,4.44
HARP INFLOW #3,12/6/1992 0:00:00,3.9
HARP INFLOW #3,12/7/1992 0:00:00,3.85
HARP INFLOW #3,12/8/1992 0:00:00,3.18
HARP INFLOW #3,12/9/1992 0:00:00,2.55
HARP INFLOW #3,12/10/1992 0:00:00,2.53
HARP INFLOW #3,12/11/1992 0:00:00,2.78
HARP INFLOW #3,12/12/1992 0:00:00,2.9
HARP INFLOW #3,12/13/1992 0:00:00,2.85
HARP INFLOW #3,12/14/1992 0:00:00,2.64
HARP INFLOW #3,12/15/1992 0:00:00,2.5
HARP INFLOW #3,12/16/1992 0:00:00,3.51
HARP INFLOW #3,12/17/1992 0:00:00,4.12
HARP INFLOW #3,12/18/1992 0:00:00,3.49
HARP INFLOW #3,12/19/1992 0:00:00,3
HARP INFLOW #3,12/20/1992 0:00:00,3.07
HARP INFLOW #3,12/21/1992 0:00:00,3.22
HARP INFLOW #3,12/22/1992 0:00:00,2.52
HARP INFLOW #3,12/23/1992 0:00:00,2.45
HARP INFLOW #3,12/24/1992 0:00:00,2.18
HARP INFLOW #3,12/25/1992 0:00:00,2.08
HARP INFLOW #3,12/26/1992 0:00:00,2.08
HARP INFLOW #3,12/27/1992 0:00:00,1.94
HARP INFLOW #3,12/28/1992 0:00:00,1.91
HARP INFLOW #3,12/29/1992 0:00:00,1.88
HARP INFLOW #3,12/30/1992 0:00:00,1.91
HARP INFLOW #3,12/31/1992 0:00:00,1.93
HARP INFLOW #3,1/1/1993 0:00:00,1.83
HARP INFLOW #3,1/2/1993 0:00:00,1.75
HARP INFLOW #3,1/3/1993 0:00:00,1.98
HARP INFLOW #3,1/4/1993 0:00:00,7.53
HARP INFLOW #3,1/5/1993 0:00:00,15
HARP INFLOW #3,1/6/1993 0:00:00,15.5
HARP INFLOW #3,1/7/1993 0:00:00,14.2
HARP INFLOW #3,1/8/1993 0:00:00,10.3
HARP INFLOW #3,1/9/1993 0:00:00,7.06
HARP INFLOW #3,1/10/1993 0:00:00,5.28
HARP INFLOW #3,1/11/1993 0:00:00,4.36
HARP INFLOW #3,1/12/1993 0:00:00,3.81
HARP INFLOW #3,1/13/1993 0:00:00,3.53
HARP INFLOW #3,1/14/1993 0:00:00,3.3
HARP INFLOW #3,1/15/1993 0:00:00,3.04
HARP INFLOW #3,1/16/1993 0:00:00,2.89
HARP INFLOW #3,1/17/1993 0:00:00,2.75
HARP INFLOW #3,1/18/1993 0:00:00,2.52
HARP INFLOW #3,1/19/1993 0:00:00,2.37
HARP INFLOW #3,1/20/1993 0:00:00,2.26
HARP INFLOW #3,1/21/1993 0:00:00,2.21
HARP INFLOW #3,1/22/1993 0:00:00,2.56
HARP INFLOW #3,1/23/1993 0:00:00,2.8
HARP INFLOW #3,1/24/1993 0:00:00,2.66
HARP INFLOW #3,1/25/1993 0:00:00,2.6
HARP INFLOW #3,1/26/1993 0:00:00,2.46
HARP INFLOW #3,1/27/1993 0:00:00,2.3
HARP INFLOW #3,1/28/1993 0:00:00,2.08
HARP INFLOW #3,1/29/1993 0:00:00,1.96
HARP INFLOW #3,1/30/1993 0:00:00,1.82
HARP INFLOW #3,1/31/1993 0:00:00,1.76
HARP INFLOW #3,2/1/1993 0:00:00,1.65
HARP INFLOW #3,2/2/1993 0:00:00,1.5
HARP INFLOW #3,2/3/1993 0:00:00,1.48
HARP INFLOW #3,2/4/1993 0:00:00,1.49
HARP INFLOW #3,2/5/1993 0:00:00,1.48
HARP INFLOW #3,2/6/1993 0:00:00,1.4
HARP INFLOW #3,2/7/1993 0:00:00,1.26
HARP INFLOW #3,2/8/1993 0:00:00,1.2
HARP INFLOW #3,2/9/1993 0:00:00,1.16
HARP INFLOW #3,2/10/1993 0:00:00,1.15
HARP INFLOW #3,2/11/1993 0:00:00,1.13
HARP INFLOW #3,2/12/1993 0:00:00,1.11
HARP INFLOW #3,2/13/1993 0:00:00,1.1
HARP INFLOW #3,2/14/1993 0:00:00,1.08
HARP INFLOW #3,2/15/1993 0:00:00,1.06
HARP INFLOW #3,2/16/1993 0:00:00,1.03
HARP INFLOW #3,2/17/1993 0:00:00,1
HARP INFLOW #3,2/18/1993 0:00:00,0.89
HARP INFLOW #3,2/19/1993 0:00:00,0.77
HARP INFLOW #3,2/20/1993 0:00:00,0.71
HARP INFLOW #3,2/21/1993 0:00:00,0.7
HARP INFLOW #3,2/22/1993 0:00:00,0.76
HARP INFLOW #3,2/23/1993 0:00:00,0.8
HARP INFLOW #3,2/24/1993 0:00:00,0.77
HARP INFLOW #3,2/25/1993 0:00:00,0.7
HARP INFLOW #3,2/26/1993 0:00:00,0.66
HARP INFLOW #3,2/27/1993 0:00:00,0.64
HARP INFLOW #3,2/28/1993 0:00:00,0.67
HARP INFLOW #3,3/1/1993 0:00:00,0.7
HARP INFLOW #3,3/2/1993 0:00:00,0.72
HARP INFLOW #3,3/3/1993 0:00:00,0.72
HARP INFLOW #3,3/4/1993 0:00:00,0.72
HARP INFLOW #3,3/5/1993 0:00:00,0.72
HARP INFLOW #3,3/6/1993 0:00:00,0.71
HARP INFLOW #3,3/7/1993 0:00:00,0.73
HARP INFLOW #3,3/8/1993 0:00:00,0.75
HARP INFLOW #3,3/9/1993 0:00:00,0.74
HARP INFLOW #3,3/10/1993 0:00:00,0.73
HARP INFLOW #3,3/11/1993 0:00:00,0.71
HARP INFLOW #3,3/12/1993 0:00:00,0.66
HARP INFLOW #3,3/13/1993 0:00:00,0.63
HARP INFLOW #3,3/14/1993 0:00:00,0.57
HARP INFLOW #3,3/15/1993 0:00:00,0.52
HARP INFLOW #3,3/16/1993 0:00:00,0.52
HARP INFLOW #3,3/17/1993 0:00:00,0.57
HARP INFLOW #3,3/18/1993 0:00:00,0.56
HARP INFLOW #3,3/19/1993 0:00:00,0.53
HARP INFLOW #3,3/20/1993 0:00:00,0.52
HARP INFLOW #3,3/21/1993 0:00:00,0.51
HARP INFLOW #3,3/22/1993 0:00:00,0.56
HARP INFLOW #3,3/23/1993 0:00:00,0.66
HARP INFLOW #3,3/24/1993 0:00:00,0.85
HARP INFLOW #3,3/25/1993 0:00:00,1.02
HARP INFLOW #3,3/26/1993 0:00:00,1.26
HARP INFLOW #3,3/27/1993 0:00:00,2.03
HARP INFLOW #3,3/28/1993 0:00:00,3.02
HARP INFLOW #3,3/29/1993 0:00:00,7.08
HARP INFLOW #3,3/30/1993 0:00:00,12.9
HARP INFLOW #3,3/31/1993 0:00:00,20.6
HARP INFLOW #3,4/1/1993 0:00:00,20.4
HARP INFLOW #3,4/2/1993 0:00:00,14.8
HARP INFLOW #3,4/3/1993 0:00:00,10.8
HARP INFLOW #3,4/4/1993 0:00:00,9.25
HARP INFLOW #3,4/5/1993 0:00:00,10.5
HARP INFLOW #3,4/6/1993 0:00:00,13.6
HARP INFLOW #3,4/7/1993 0:00:00,19.8
HARP INFLOW #3,4/8/1993 0:00:00,31.4
HARP INFLOW #3,4/9/1993 0:00:00,43.3
HARP INFLOW #3,4/10/1993 0:00:00,64.1
HARP INFLOW #3,4/11/1993 0:00:00,33.1
HARP INFLOW #3,4/12/1993 0:00:00,20.7
HARP INFLOW #3,4/13/1993 0:00:00,15.3
HARP INFLOW #3,4/14/1993 0:00:00,13
HARP INFLOW #3,4/15/1993 0:00:00,13.1
HARP INFLOW #3,4/16/1993 0:00:00,15
HARP INFLOW #3,4/17/1993 0:00:00,11.1
HARP INFLOW #3,4/18/1993 0:00:00,8.77
HARP INFLOW #3,4/19/1993 0:00:00,10.8
HARP INFLOW #3,4/20/1993 0:00:00,24.6
HARP INFLOW #3,4/21/1993 0:00:00,25.2
HARP INFLOW #3,4/22/1993 0:00:00,12.5
HARP INFLOW #3,4/23/1993 0:00:00,9.13
HARP INFLOW #3,4/24/1993 0:00:00,7.21
HARP INFLOW #3,4/25/1993 0:00:00,6.8
HARP INFLOW #3,4/26/1993 0:00:00,5.61
HARP INFLOW #3,4/27/1993 0:00:00,4.66
HARP INFLOW #3,4/28/1993 0:00:00,4.35
HARP INFLOW #3,4/29/1993 0:00:00,4.26
HARP INFLOW #3,4/30/1993 0:00:00,4.95
HARP INFLOW #3,5/1/1993 0:00:00,4.72
HARP INFLOW #3,5/2/1993 0:00:00,4.2
HARP INFLOW #3,5/3/1993 0:00:00,3.67
HARP INFLOW #3,5/4/1993 0:00:00,3.5
HARP INFLOW #3,5/5/1993 0:00:00,4.52
HARP INFLOW #3,5/6/1993 0:00:00,3.87
HARP INFLOW #3,5/7/1993 0:00:00,3.25
HARP INFLOW #3,5/8/1993 0:00:00,2.86
HARP INFLOW #3,5/9/1993 0:00:00,2.7
HARP INFLOW #3,5/10/1993 0:00:00,2.44
HARP INFLOW #3,5/11/1993 0:00:00,2.15
HARP INFLOW #3,5/12/1993 0:00:00,1.94
HARP INFLOW #3,5/13/1993 0:00:00,1.81
HARP INFLOW #3,5/14/1993 0:00:00,3.14
HARP INFLOW #3,5/15/1993 0:00:00,4.42
HARP INFLOW #3,5/16/1993 0:00:00,3.03
HARP INFLOW #3,5/17/1993 0:00:00,2.44
HARP INFLOW #3,5/18/1993 0:00:00,2.17
HARP INFLOW #3,5/19/1993 0:00:00,2.54
HARP INFLOW #3,5/20/1993 0:00:00,2.51
HARP INFLOW #3,5/21/1993 0:00:00,2.61
HARP INFLOW #3,5/22/1993 0:00:00,2.55
HARP INFLOW #3,5/23/1993 0:00:00,2.17
HARP INFLOW #3,5/24/1993 0:00:00,12.4
HARP INFLOW #3,5/25/1993 0:00:00,10.7
HARP INFLOW #3,5/26/1993 0:00:00,8.41
HARP INFLOW #3,5/27/1993 0:00:00,5.86
HARP INFLOW #3,5/28/1993 0:00:00,14.9
HARP INFLOW #3,5/29/1993 0:00:00,10.8
HARP INFLOW #3,5/30/1993 0:00:00,6.55
HARP INFLOW #3,5/31/1993 0:00:00,14.1
HARP INFLOW #3,6/1/1993 0:00:00,12.8
HARP INFLOW #3,6/2/1993 0:00:00,8.01
HARP INFLOW #3,6/3/1993 0:00:00,5.76
HARP INFLOW #3,6/4/1993 0:00:00,4.7
HARP INFLOW #3,6/5/1993 0:00:00,3.95
HARP INFLOW #3,6/6/1993 0:00:00,3.75
HARP INFLOW #3,6/7/1993 0:00:00,3.1
HARP INFLOW #3,6/8/1993 0:00:00,3.13
HARP INFLOW #3,6/9/1993 0:00:00,6.71
HARP INFLOW #3,6/10/1993 0:00:00,7.45
HARP INFLOW #3,6/11/1993 0:00:00,4.54
HARP INFLOW #3,6/12/1993 0:00:00,3.08
HARP INFLOW #3,6/13/1993 0:00:00,2.32
HARP INFLOW #3,6/14/1993 0:00:00,2.15
HARP INFLOW #3,6/15/1993 0:00:00,7.25
HARP INFLOW #3,6/16/1993 0:00:00,3.53
HARP INFLOW #3,6/17/1993 0:00:00,2.43
HARP INFLOW #3,6/18/1993 0:00:00,5.94
HARP INFLOW #3,6/19/1993 0:00:00,5.5
HARP INFLOW #3,6/20/1993 0:00:00,6.49
HARP INFLOW #3,6/21/1993 0:00:00,10.3
HARP INFLOW #3,6/22/1993 0:00:00,7.62
HARP INFLOW #3,6/23/1993 0:00:00,4.46
HARP INFLOW #3,6/24/1993 0:00:00,3.03
HARP INFLOW #3,6/25/1993 0:00:00,9.57
HARP INFLOW #3,6/26/1993 0:00:00,40.9
HARP INFLOW #3,6/27/1993 0:00:00,14.3
HARP INFLOW #3,6/28/1993 0:00:00,7.27
HARP INFLOW #3,6/29/1993 0:00:00,4.77
HARP INFLOW #3,6/30/1993 0:00:00,3.57
HARP INFLOW #3,7/1/1993 0:00:00,2.64
HARP INFLOW #3,7/2/1993 0:00:00,2.22
HARP INFLOW #3,7/3/1993 0:00:00,2.6
HARP INFLOW #3,7/4/1993 0:00:00,1.88
HARP INFLOW #3,7/5/1993 0:00:00,1.42
HARP INFLOW #3,7/6/1993 0:00:00,1.94
HARP INFLOW #3,7/7/1993 0:00:00,1.59
HARP INFLOW #3,7/8/1993 0:00:00,1.11
HARP INFLOW #3,7/9/1993 0:00:00,0.93
HARP INFLOW #3,7/10/1993 0:00:00,0.8
HARP INFLOW #3,7/11/1993 0:00:00,0.83
HARP INFLOW #3,7/12/1993 0:00:00,1.93
HARP INFLOW #3,7/13/1993 0:00:00,0.78
HARP INFLOW #3,7/14/1993 0:00:00,0.77
HARP INFLOW #3,7/15/1993 0:00:00,0.61
HARP INFLOW #3,7/16/1993 0:00:00,0.42
HARP INFLOW #3,7/17/1993 0:00:00,0.29
HARP INFLOW #3,7/18/1993 0:00:00,0.22
HARP INFLOW #3,7/19/1993 0:00:00,0.19
HARP INFLOW #3,7/20/1993 0:00:00,0.15
HARP INFLOW #3,7/21/1993 0:00:00,0.23
HARP INFLOW #3,7/22/1993 0:00:00,0.26
HARP INFLOW #3,7/23/1993 0:00:00,0.09
HARP INFLOW #3,7/24/1993 0:00:00,0.04
HARP INFLOW #3,7/25/1993 0:00:00,0.02
HARP INFLOW #3,7/26/1993 0:00:00,0.7
HARP INFLOW #3,7/27/1993 0:00:00,0.4
HARP INFLOW #3,7/28/1993 0:00:00,0.56
HARP INFLOW #3,7/29/1993 0:00:00,1.7
HARP INFLOW #3,7/30/1993 0:00:00,1.09
HARP INFLOW #3,7/31/1993 0:00:00,0.87
HARP INFLOW #3,8/1/1993 0:00:00,0.36
HARP INFLOW #3,8/2/1993 0:00:00,0.23
HARP INFLOW #3,8/3/1993 0:00:00,0.15
HARP INFLOW #3,8/4/1993 0:00:00,0.13
HARP INFLOW #3,8/5/1993 0:00:00,0.09
HARP INFLOW #3,8/6/1993 0:00:00,0.03
HARP INFLOW #3,8/7/1993 0:00:00,0.02
HARP INFLOW #3,8/8/1993 0:00:00,0.01
HARP INFLOW #3,8/9/1993 0:00:00,0.06
HARP INFLOW #3,8/10/1993 0:00:00,0.06
HARP INFLOW #3,8/11/1993 0:00:00,0.09
HARP INFLOW #3,8/12/1993 0:00:00,0.06
HARP INFLOW #3,8/13/1993 0:00:00,0.02
HARP INFLOW #3,8/14/1993 0:00:00,0
HARP INFLOW #3,8/15/1993 0:00:00,0
HARP INFLOW #3,8/16/1993 0:00:00,0.08
HARP INFLOW #3,8/17/1993 0:00:00,0
HARP INFLOW #3,8/18/1993 0:00:00,0
HARP INFLOW #3,8/19/1993 0:00:00,0
HARP INFLOW #3,8/20/1993 0:00:00,0.08
HARP INFLOW #3,8/21/1993 0:00:00,0.05
HARP INFLOW #3,8/22/1993 0:00:00,0
HARP INFLOW #3,8/23/1993 0:00:00,0
HARP INFLOW #3,8/24/1993 0:00:00,0.03
HARP INFLOW #3,8/25/1993 0:00:00,0.02
HARP INFLOW #3,8/26/1993 0:00:00,0
HARP INFLOW #3,8/27/1993 0:00:00,0
HARP INFLOW #3,8/28/1993 0:00:00,0.26
HARP INFLOW #3,8/29/1993 0:00:00,0.04
HARP INFLOW #3,8/30/1993 0:00:00,0
HARP INFLOW #3,8/31/1993 0:00:00,0.06
HARP INFLOW #3,9/1/1993 0:00:00,0.06
HARP INFLOW #3,9/2/1993 0:00:00,0.03
HARP INFLOW #3,9/3/1993 0:00:00,6.97
HARP INFLOW #3,9/4/1993 0:00:00,0.98
HARP INFLOW #3,9/5/1993 0:00:00,0.24
HARP INFLOW #3,9/6/1993 0:00:00,0.16
HARP INFLOW #3,9/7/1993 0:00:00,0.33
HARP INFLOW #3,9/8/1993 0:00:00,0.35
HARP INFLOW #3,9/9/1993 0:00:00,2.37
HARP INFLOW #3,9/10/1993 0:00:00,2.92
HARP INFLOW #3,9/11/1993 0:00:00,1.16
HARP INFLOW #3,9/12/1993 0:00:00,0.72
HARP INFLOW #3,9/13/1993 0:00:00,0.5
HARP INFLOW #3,9/14/1993 0:00:00,0.91
HARP INFLOW #3,9/15/1993 0:00:00,8.22
HARP INFLOW #3,9/16/1993 0:00:00,3.04
HARP INFLOW #3,9/17/1993 0:00:00,1.76
HARP INFLOW #3,9/18/1993 0:00:00,1.26
HARP INFLOW #3,9/19/1993 0:00:00,0.85
HARP INFLOW #3,9/20/1993 0:00:00,0.66
HARP INFLOW #3,9/21/1993 0:00:00,0.56
HARP INFLOW #3,9/22/1993 0:00:00,0.47
HARP INFLOW #3,9/23/1993 0:00:00,4.58
HARP INFLOW #3,9/24/1993 0:00:00,2.06
HARP INFLOW #3,9/25/1993 0:00:00,1.31
HARP INFLOW #3,9/26/1993 0:00:00,1.69
HARP INFLOW #3,9/27/1993 0:00:00,1.96
HARP INFLOW #3,9/28/1993 0:00:00,2.71
HARP INFLOW #3,9/29/1993 0:00:00,1.89
HARP INFLOW #3,9/30/1993 0:00:00,1.43
