lakeid,sampledate,secnview
ME,11/25/2003,3.5
ME,2/3/2004,5.2
ME,3/29/2004,2.9
ME,4/12/2004,2.7
ME,4/28/2004,6.3
ME,5/10/2004,10.1
ME,5/24/2004,3
ME,6/7/2004,5.5
ME,6/21/2004,3.75
ME,7/6/2004,2.6
ME,7/19/2004,2.4
ME,8/3/2004,2.3
ME,8/16/2004,1.6
ME,9/7/2004,2.2
ME,10/5/2004,2.3
ME,11/3/2004,4
ME,1/31/2005,10.2
ME,4/15/2005,2.2
ME,4/25/2005,4
ME,5/9/2005,7.5
ME,5/23/2005,4.3
ME,6/6/2005,5.5
ME,6/20/2005,3.6
ME,7/5/2005,1.6
ME,7/18/2005,1.3
ME,8/1/2005,2.6
ME,8/15/2005,1.6
ME,8/29/2005,2
ME,9/26/2005,2.4
ME,11/2/2005,4.5
ME,11/30/2005,5.5
ME,3/6/2006,7.8
ME,4/4/2006,6.5
ME,4/17/2006,6.4
ME,5/2/2006,6.4
ME,5/15/2006,5.2
ME,5/30/2006,5.3
ME,6/12/2006,4
ME,6/26/2006,3
ME,7/10/2006,3.3
ME,7/24/2006,3
ME,8/7/2006,2.2
ME,8/21/2006,3
ME,9/6/2006,3
ME,10/2/2006,2.2
ME,10/30/2006,2.5
ME,11/27/2006,7.1
ME,1/3/2007,6
ME,2/19/2007,9.2
ME,4/2/2007,4.1
ME,4/16/2007,2.8
ME,4/30/2007,3.1
ME,5/14/2007,7.8
ME,5/29/2007,6
ME,6/11/2007,3.8
ME,6/25/2007,3
ME,7/9/2007,2.2
ME,7/23/2007,2
ME,8/6/2007,2
ME,8/20/2007,2.5
ME,9/4/2007,3
ME,10/1/2007,1.7
ME,10/29/2007,3
ME,11/26/2007,4
ME,2/13/2008,10.5
ME,4/14/2008,0.9
ME,4/28/2008,4.2
ME,5/12/2008,6
ME,5/28/2008,10.7
ME,6/9/2008,6
ME,6/23/2008,1.75
ME,7/7/2008,0.8
ME,7/21/2008,2
ME,8/4/2008,1.2
ME,8/18/2008,1.1
ME,9/5/2008,1.8
ME,9/29/2008,2.2
ME,10/29/2008,3.5
ME,1/21/2009,11.3
ME,4/15/2009,3.5
ME,4/27/2009,3
ME,5/11/2009,5.3
ME,5/28/2009,5.1
ME,6/9/2009,8.5
ME,6/23/2009,6.7
ME,7/6/2009,2.2
ME,7/20/2009,0.6
ME,8/5/2009,0.9
ME,8/19/2009,1.2
ME,9/2/2009,1.2
ME,9/30/2009,2.5
ME,10/28/2009,4.7
ME,12/3/2009,5
ME,2/1/2010,9
ME,3/29/2010,1
ME,4/13/2010,1.9
ME,4/26/2010,1.6
ME,5/10/2010,2.5
ME,5/24/2010,7.6
ME,6/7/2010,2.1
ME,6/21/2010,1.9
ME,7/5/2010,1.4
ME,7/19/2010,1.1
ME,8/3/2010,1.4
ME,8/16/2010,1.3
ME,8/30/2010,1.2
ME,10/5/2010,2.1
ME,11/9/2010,2.9
ME,1/19/2011,5.3
ME,5/2/2011,2.5
ME,5/17/2011,2.3
ME,5/31/2011,6
ME,6/13/2011,7.2
ME,6/27/2011,3.3
ME,7/11/2011,3.3
ME,7/25/2011,2.6
ME,8/4/2011,3.3
ME,8/22/2011,1.8
ME,9/12/2011,2
ME,10/3/2011,2.2
ME,10/31/2011,2.6
ME,2/22/2012,2.3
ME,3/21/2012,1.5
ME,4/4/2012,2.6
ME,4/17/2012,7
ME,5/1/2012,8.2
ME,5/14/2012,7.8
ME,5/29/2012,5.6
ME,6/11/2012,2.9
ME,6/25/2012,1.5
ME,7/10/2012,1.8
ME,7/23/2012,1.4
ME,8/6/2012,1.5
ME,8/20/2012,1.7
ME,9/4/2012,2.1
ME,10/1/2012,2.1
ME,10/29/2012,4.2
ME,11/29/2012,2.5
ME,4/29/2013,2.4
ME,5/14/2013,2.7
ME,5/28/2013,8.2
ME,6/10/2013,10.6
ME,6/24/2013,2.4
ME,7/8/2013,1.6
ME,7/22/2013,1.4
ME,8/5/2013,1.6
ME,8/21/2013,1.1
ME,9/4/2013,1.4
ME,9/30/2013,1.9
ME,10/29/2013,2
ME,12/2/2013,3.6
ME,2/3/2014,4.2
ME,4/29/2014,2
ME,5/14/2014,1.7
ME,5/28/2014,1.4
ME,6/9/2014,3.8
ME,6/23/2014,2.1
ME,7/7/2014,1.5
ME,7/21/2014,1.3
ME,8/4/2014,1.3
ME,8/20/2014,1.6
ME,9/2/2014,2
ME,9/28/2014,2.4
ME,10/30/2014,2.6
ME,2/11/2015,3.1
ME,4/10/2015,1.4
ME,4/24/2015,2
ME,5/1/2015,1.3
ME,5/13/2015,0.8
ME,5/27/2015,3.3
ME,6/8/2015,3.5
ME,6/23/2015,1.4
ME,7/8/2015,1.9
ME,7/20/2015,1.5
ME,8/3/2015,1.4
ME,8/18/2015,1.6
ME,8/31/2015,1.4
ME,10/7/2015,1.9
ME,11/2/2015,2.5
